Stap;Activiteit;PvA-sectie;DV;OC;Gekoppelde risico’s;Mitigatie in deze stap;Output / Bewijs
1;Requirements finaliseren + OC-traceability;H7, H9.5, H10.1;DV1–2;Alle OC;R2, R3, R9;"Expliciete mapping literatuur → OC → requirement; toetsbaar formuleren";Requirements v2 + traceability-update
2;Beveiligings- en architectuuranalyse air-gapped;H7.1, H9.2;DV1;OC-2,4,5,6;R8, R9;"Trust boundaries expliciet definiëren; dataflows documenteren";Security-kaderdocument
3;Stakeholderinterviews;H7.1;DV2;OC-1,2,9;R3, R5;"Interviewprotocol vooraf vastleggen; representatieve selectie; bevindingen valideren";Interviewanalyse + eisenlijst
4;Analyse bestaande LLM-integraties;H7.1, H9.3;DV3;OC-6,7,8;R4;"Focus op SDK-compatibele patronen; geen experimentele hooks overnemen";Vergelijkende analyse
5;Architectuurontwerp + trust boundaries;H10.2;DV4;OC-4,5,6,7,8;R4, R8, R9;"Componentdiagram + expliciete scheiding IDE/LLM; security-review vóór implementatie";Architectuurdocument
6;Proof-of-Concept communicatie;H7.1, H10.2;DV4;OC-4,6,8;R4, R6;"Vroegtijdige validatie SDK-beperkingen; performance baseline meten; timeouts testen";Werkende basiscommunicatie
7;Implementatie human-in-the-loop + contextselectie;H10.3;DV4;OC-1,2,3;R7, R8;"Nooit automatische code-injectie; expliciete selectie afdwingen; vaste modelparameters";MVP v1
8;Implementatie offline, geen persistente opslag, procesisolatie;H9.2, H10.3;DV4;OC-4,5,6;R8;"Logging beperken tot technische metadata; file-system access beperken; sandboxing";Code-inspectie bewijs
9;Foutafhandeling + transparantie;H9.3, H9.4;DV4;OC-8,9;R7;"Graceful failure; duidelijke AI-labeling; output als voorstel";UX-validatie
10;Functionele tests per OC;H10.4;DV5;Alle OC;R3, R7;"Per OC minimaal één bewijsstuk; herhaaltest bij stochasticiteit";Testrapport
11;Gebruikerstests (10–12 devs);H10.4;DV5;OC-1,2,9;R5, R7;"Vroeg plannen; taken vooraf definiëren; triangulatie (observatie + feedback)";Evaluatieverslag
12;Security-validatie (STRIDE + inspectie);H10.4;DV5;OC-2,4,5,6,8;R8;"Formeel threat model; aanvalsscenario’s simuleren; inspectie op opslag/netwerk";STRIDE-model + mitigaties
13;OC-validatiematrix;H9.5, H10.4;DV5;Alle OC;R3, R9;"OC → toetsing → conclusie expliciet documenteren; geen impliciete aannames";Validatiematrix
14;Resultaten consolideren + beantwoording centrale vraag;H10.6;Alle DV;Alle OC;R2, R9;"Reflectie op spanningen; expliciet terugkoppelen naar theorie";Resultatenhoofdstuk
;;;;;;;
Probleem → Deelvragen → Ontwerpcriteria → Architectuur → MVP → Evaluatie → Centrale onderzoeksvraag;;;;;;;
