Version;Date;"	Type";"	Component";Summary;"	Details"
0.0;14/04/2026;Feature;Solution;Initiële projectopzet.;Visual Studio 2022 VSIX-solution aangemaakt met het core-project (LocalLLM), het VSIX-project (LocalLLM.vsix) en het testproject (LocalLLM.Tests). Bevat de basis ChatWindow tool window, OllamaClient en projectstructuur.
0.1;18/04/2026;Bugfix;ChatWindow;Typing-indicator exception opgelost.;Een uitzondering die optrad bij het tonen of verwijderen van de typing-indicator in de berichtenlijst is verholpen. De ObservableCollection werd onveilig gemuteerd buiten de UI-thread.
0.1;21/04/2026;Feature;Options;Opties voor model-stochasticiteit toegevoegd (temperature, top-p, num_predict).;Gebruikers kunnen nu de sampling-parameters van het model instellen via Tools → Options → LocalLLM. De parameters Temperature, TopP en NumPredict worden als constanten in AppDefaults beheerd en meegestuurd met elk chat-verzoek.
0.1;27/04/2026;Feature;Options/Context;Werkende optiepagina met contextmodi en UI-verbeteringen.;De LocalLLMOptionsPage ondersteunt nu de ContextMode-enum (Off, SelectionOnly, IncludeMethod, IncludeFile) waarmee de gebruiker bepaalt hoeveel editorcontext wordt meegestuurd. Daarnaast zijn UI-verbeteringen in het chatvenster doorgevoerd.
0.1;28/04/2026;Feature;Tests;Codedekking verhoogd, OllamaClient HTTP-unittests en dekkingsrapport toegevoegd.;Unittests toegevoegd voor de OllamaClient HTTP-communicatie met gemockte HttpMessageHandler. Code-coverage rapport gegenereerd en test-README aangemaakt.
0.1;29/04/2026;Bugfix;ChatWindowViewModel;Geheugenlekken opgelost, onbeperkte gesprekshistorie en exception handling toegevoegd.;Geheugenlekken verholpen door correcte IDisposable-implementatie en opruimen van event-subscriptions. De gesprekshistorie is nu onbeperkt (met een configureerbaar maximum in AppDefaults.MaxHistoryTurns). Exception handling toegevoegd voor netwerk- en modelfouten.
0.1;30/04/2026;Feature;Connection;Localhost-beperking verwijderd om externe LLM-endpoints toe te staan.;De hardcoded localhost-restrictie is verwijderd zodat gebruikers een extern Ollama-endpoint kunnen configureren via de Base URL-instelling in de optiepagina.
0.1;02/05/2026;Feature;LocalLLMOptionsPage;Persistente opslag voor optiepagina-instellingen toegevoegd.;Instellingen (modelnaam, base URL, contextmodus) worden nu opgeslagen in de VS-gebruikersinstellingen via het standaard DialogPage.SaveSettingsToStorage()-mechanisme en blijven behouden tussen sessies.
0.2;04/05/2026;Refactor;Apply pipeline;Apply-pipeline geëvolueerd van modaal DiffPreviewWindow naar inline diff via VS Suggestions API.;De eerste versie gebruikte een modaal DiffPreviewWindow voor het tonen van codewijzigingen. Dit is gerefactord naar de VS Suggestions API (ISuggestedActionCategorySet) waardoor diffs inline in de editor worden getoond, met een fallback naar een modaal venster wanneer de Suggestions API niet beschikbaar is.
0.2;05/05/2026;Feature;ChatWindow;Ondersteuning voor dynamische VS-themakleuren toegevoegd.;Het chatvenster past zich nu aan aan het actieve Visual Studio-kleurthema (licht/donker/blauw). Kleuren worden dynamisch opgehaald via de VS-thema-API in plaats van hardcoded waarden.
0.2;05/05/2026;Bugfix;ChatWindow;Scrollgedrag bij lange berichten gecorrigeerd.;Het chatvenster scrollde niet automatisch naar het nieuwste bericht bij lange antwoorden van het model. De scroll-logica is aangepast zodat het venster altijd naar het laatste bericht scrollt na ontvangst.
0.2;05/05/2026;Refactor;LLM clients;LlmClientBase geëxtraheerd, Ollama en Open-WebUI geünificeerd naar OpenAI-compatibel API-formaat, exception-typen hernoemd naar provider-neutrale namen.;De gedeelde HTTP-logica is geëxtraheerd naar LlmClientBase. Beide backends (OllamaClient en OpenWebUIClient) gebruiken nu hetzelfde OpenAI-compatibele chat-completions formaat. OllamaException en gerelateerde typen zijn hernoemd naar LlmUnavailableException en LlmResponseException om provider-onafhankelijk te zijn.
0.2;05/05/2026;Feature;Open-WebUI;Open-WebUI backend-ondersteuning toegevoegd met Bearer-tokenauthenticatie, backend-typeselector en configureerbare base URL.;Gebruikers kunnen nu kiezen tussen Ollama (directe verbinding, geen authenticatie) en Open-WebUI (Bearer-tokenauthenticatie) via de ConnectionType-instelling in de optiepagina. De LlmClientSelector routeert verzoeken naar de juiste backend op basis van deze instelling.
0.2;05/05/2026;Feature;Inline Apply;Inline diff-preview toegevoegd voor het toepassen van door het LLM voorgestelde codewijzigingen in de editor, met undo-ondersteuning en detectie van verouderde context.;"Per codeblok in het antwoord van de assistent wordt een ""Apply""-knop getoond. Bij klikken wordt een inline diff-preview weergegeven via de VS Suggestions API. De wijziging wordt in een undo-transactie gewrapt (Ctrl+Z om terug te draaien). Bij verouderde context (de brontekst is gewijzigd sinds het verzoek) wordt de apply geblokkeerd met een duidelijke foutmelding."
0.3;05/05/2026;Docs;Repository;README en MIT-licentie toegevoegd.;Een README.md met projectbeschrijving, installatie-instructies en gebruiksaanwijzing is toegevoegd. Het project is gelicentieerd onder de MIT-licentie. Versienummer opgehoogd.
0.3;06/05/2026;Bugfix;LocalLLMOptionsPage;"Optiescherm persisteerde de API-key niet correct; optiebeschrijvingen bijgewerkt.";De API-key werd niet opgeslagen bij het sluiten van het optiescherm. De Description-attributen van alle opties zijn herschreven voor duidelijkheid en consistentie.
0.3;15/05/2026;Docs;Solution-breed;XML-documentatie geaudit en verbeterd in 16 bestanden — verouderde Ollama-specifieke verwijzingen verwijderd, onjuiste samenvattingen gecorrigeerd, alle publieke typen gedocumenteerd.;"Alle XML-documentatie in de Core- en VSIX-projecten is doorgelopen. Verwijzingen naar ""Ollama"" zijn vervangen door ""LLM backend"" waar van toepassing. Ontbrekende <summary>-tags zijn toegevoegd voor publieke typen zoals LlmChoice, LlmError en enum-leden. Verouderde opmerkingen (zoals ""spike"" en ""v1 only"") zijn verwijderd."
0.3;15/05/2026;Bugfix;LocalLLMOptionsPage;DPAPI-encryptie verwijderd uit API-tokenpersistentie.;DPAPI-encryptie (ProtectedData.Protect/Unprotect), aangepaste ShellSettingsManager-overrides, de EncryptedApiTokenStorage-proxyproperty en het [DesignerSerializationVisibility(Hidden)]-attribuut zijn verwijderd. Het API-token wordt nu als platte tekst opgeslagen via het standaard DialogPage.SaveSettingsToStorage()-mechanisme, identiek aan alle andere instellingen. Dit loste drie bugs op: een COMException-crash in ShellWritableSettingsStore.SetString bij het sluiten van het optiescherm, een SettingTooLargeException doordat de DPAPI-versleutelde blob de VS-opslaglimiet overschreed, en een niet-bewerkbaar API-tokenveld doordat het Hidden-attribuut het VS-property grid als alleen-lezen behandelde. Het token wordt opgeslagen in de per-gebruiker VS private registry hive, beschermd door Windows-gebruikersaccountrechten.
0.4;16/05/2026;Refactor;LLM clients;OllamaClient vervangen door OpenAICompatibleClient met gedeelde SSE-streaming infrastructuur.;OllamaClient is verwijderd en vervangen door OpenAICompatibleClient. LlmClientBase is uitgebreid met PostStreamAsync() voor Server-Sent Events parsing, inclusief data: line protocol, [DONE] sentinel-detectie en finish_reason mapping. Alle bestaande tests zijn omgezet van Ollama- naar OpenAICompatible-naamgeving.
