ID;Ontwerpcriterium (OC);Theoretisch kerninzicht (bron);Normatieve basis (D/300-serie);Wat moet aantoonbaar zijn;Ontwerpbeslissing;Evaluatie-bewijs
OC-1;Human-in-the-loop controle;"LLM’s zijn probabilistisch en niet autonoom betrouwbaar (Brown; Chen; Peng)";Indirect via beheersbaarheid;Geen automatische code-injectie;Preview + expliciete bevestiging;Praktijkscenario-tests + observatie acceptatiegedrag
OC-2;Contextbeperking;"Outputkwaliteit is contextafhankelijk (Chen; Nijkamp)";"Need-to-know / dataminimalisatie (D/301; D/302)";Alleen expliciet geselecteerde input wordt verzonden;Prompt builder op basis van actieve selectie;Payload-inspectie tijdens testsessies
OC-3;Beheersing modelstochasticiteit;Outputvariatie door sampling (Brown);–;Reproduceerbaar gedrag bij identieke input;Vaste temperature/top-p instellingen;Config-inspectie + herhaaltest
OC-4;Volledig offline verwerking;"Air-gapped randvoorwaarden (NCSC; OWASP)";"Verbod op ongeautoriseerde externe verwerking (D/300; D/301)";Geen externe netwerkcommunicatie;Lokale modelhosting binnen gesloten netwerk;Netwerkmonitoring / egress-check
OC-5;Geen persistente opslag;Logging-risico’s (OWASP LLM Top 10);"Eisen rond opslag en logging van gevoelige informatie (D/301; D/302)";Geen opslag van prompts of output;In-memory verwerking zonder disk-writes;Inspectie logs, config, cache
OC-6;Gescheiden verantwoordelijkheden;Trust boundaries verminderen aanvalsvlak (Shostack);Scheiding privileged/unprivileged + minimale rechten (D/302);LLM heeft geen directe toegang tot IDE/filesysteem;Apart LLM-proces + gecontroleerde IPC;Architectuurinspectie + STRIDE
OC-7;Gebruik ondersteunde extensiemechanismen;SDK-conformiteit vereist stabiliteit (Microsoft Learn);–;Alleen ondersteunde extensie-API’s gebruikt;MEF-gebaseerde extensiestructuur;Code-review + SDK-compliance check
OC-8;Foutbestendige communicatie;Losse koppeling verhoogt stabiliteit;Beheersbaarheid en continuïteit (D/300);IDE blijft stabiel bij falend LLM;Timeouts, error handling, gecontroleerde fallback;Foutscenario-simulaties
OC-9;Transparante interactie;"Transparantie voorkomt over-reliance (Amershi; Barke; Weisz)";Indirect via beheersbaarheid;Gebruiker ziet wat wordt verzonden en dat output AI-gegenereerd is;UI met expliciete labeling en toelichting;Gebruikerstest + interviews
;;;;;;
;theorie → ontwerp → implementatie → evaluatie;;;;;
;theoretisch kader → OC → MVP → Gebruikerstest / evaluatie;;;;;
