Norm / Cluster;Artikel / Code;Relevantie voor MVP;Status;Toetsing in MVP;Bewijs / Artefact
D/300-serie (Defensie);D/301 BIO;Beveiliging informatievoorziening, baseline BIO;Ja;Implementatie OC-1, OC-4, OC-5 dekt need-to-know + geen persistente opslag van interactie-inhoud (chat-historie in-memory; configuratie incl. ApiToken via DialogPage persistent);"DV1 §5.1; LlmClientBase.CreateBaseUri; PromptOrchestrator in-memory; LocalLLMOptionsPage.cs public DialogPage-properties."
D/300-serie (Defensie);D/302;Toetsbaarheid / herhaalbaarheid van geautomatiseerde beslissingen;Ja;"OC-3 modelparameters vast in AppDefaults (Temperature=0.2f, TopP=0.9f, MaxTokensPreset default Extended=4096); pinning-tests in AppDefaultsTests";"AppDefaults.cs Temperature/TopP/DefaultMaxTokensPreset; MapMaxTokens(); reproduceerbaarheidstest gepland in DV5-D5."
D/300-serie (Defensie);D/303;Transparantie van systeemgedrag naar gebruiker;Ja;"Context-strip + model-label + status-indicator + read-only settings-mirror (Model/Max tokens/Context/Streaming/Reasoning) + Markdown-rendering; streaming-statussen (streaming...), (cancelled), (incomplete); reasoning-expander";"OC-9 bewijs; ChatToolWindowControl.xaml; MarkdownHelper.cs; ChatMessageDisplay streaming-properties."
D/300-serie (Defensie);D/304;Netwerkscheiding en air-gap;Ja;"Runtime geen externe dependencies; Air-gap op netwerklaag (firewall + LAN-segmentatie); client is endpoint-agnostisch via LlmClientBase URL-syntaxvalidatie.";"OC-4 bewijs; C-2 bewijs; packet-capture-aanbeveling P1."
BIO 1.0.4;6.1.2;Functiescheiding;Ja;"Core-bibliotheek vs. VSIX-host; LLM-server als separaat OS-proces; SettingsProxy als trust-grens; streaming-infra in Core-laag";"SDD H3; LocalLLM.Core csproj; ChatToolWindow.cs; STRIDE-analyse."
BIO 1.0.4;9.4;Beperking toegang tot programma-informatie (dataminimalisatie);Ja;"Geen persistentie interactie-inhoud; ContextMode-ceiling met SelectionOnly-default; 500-regel cap op full-file-context; reasoning niet in history";"OC-5 bewijs; OC-2 bewijs; PromptOrchestrator.MaxFileLines; AppDefaults.cs."
BIO 1.0.4;10.1;Cryptografische maatregelen — n.v.t. offline localhost;n.v.t.;"Geen netwerkverkeer buiten loopback; HTTPS buiten scope van air-gap";"OC-4; C-1."
BIO 1.0.4;12.4;Logboeken en monitoring;Gedeeltelijk;ExtensionLogger logt tijd, lengte, status — geen prompt/response inhoud (bewuste OC-5-keuze);"DV1 §5.2 Repudiation; ExtensionLogger.cs; PromptOrchestrator nooit write-to-disk."
BIO 1.0.4;13.1;Netwerkbeveiliging / scheiding;Ja;"Egress beperkt tot configureerd LLM-endpoint binnen JIVC SO&I-LAN (geen externe netwerken); geen DNS-resolutie van externe hosts";"LlmClientBase.CreateBaseUri; OC-4."
DBB (Defensie);BB-V;Verantwoordelijkheid door opdrachtgever geverifieerd;Ja;"Code-review door begeleider; zelf-code-review document; gestructureerde code-review per OC in DV5 v7";"DV5 v7 §3; Zelf_Code_Review_LocalLLM (separaat artefact)."
OWASP LLM Top 10;LLM01;Prompt Injection;Gedeeltelijk;"Statische SystemPrompt; user-input blijft user-role; [CODE CONTEXT]-label — risico via geplakte code blijft inherent";"PromptOrchestrator.SystemPrompt; DV1 §5.3."
OWASP LLM Top 10;LLM02;Insecure Output Handling;Ja;"Nooit automatisch toegepast; geen eval/exec-paden; RichTextBox is read-only; Apply uitgeschakeld tijdens streaming/incomplete";"OC-1; FR-5; DV1 §5.3."
OWASP LLM Top 10;LLM03;Training Data Poisoning;n.v.t.;MVP traint geen model en finetunet niet;SBOM runtime — codellama:13b-instruct als artifact.
OWASP LLM Top 10;LLM04;Model Denial of Service;Ja;"Timeout 120s + cancellation + streaming cancellation via CancellationToken in SSE-leesloop + async UI + AvailabilityProbeTimeout 5s (linked CTS)";"LlmClientBase + OpenAICompatibleClient/OpenWebUIClient timeout-configuratie; AppDefaults."
OWASP LLM Top 10;LLM05;Supply Chain;Gedeeltelijk;"Productie-afhankelijkheden v0.4: Newtonsoft.Json 13.0.3, Markdig 0.40.0, Microsoft.VisualStudio.SDK 17.0.32112.339, Microsoft.VSSDK.BuildTools 17.14.2142, Roslyn + Community.VisualStudio.Toolkit (transitief)";SBOM_LocalLLM.xlsx — advies C2: getekende SBOM per release.
OWASP LLM Top 10;LLM06;Sensitive Information Disclosure;Ja;"Geen persistentie interactie-inhoud; geen externe calls; ContextMode-ceiling; 500-regel cap; logger zonder content; reasoning niet in history; API-token in per-user VS-profiel";"OC-5; OC-2; OC-4 bewijs."
OWASP LLM Top 10;LLM07;Insecure Plugin Design;Ja;"Geen plug-in/chain; directe API-call; geen tools/function calling";Architectuuranalyse DV1 §5.3.
OWASP LLM Top 10;LLM08;Excessive Agency;Ja;"Model heeft geen file-, shell- of IDE-commando's; output is passieve tekst";"DV1 §5.3; OC-1 bewijs."
OWASP LLM Top 10;LLM09;Overreliance;Ja;"Banner 'AI-generated — human review required' + SessionDisclaimer Info-bubble + OC-1 (geen auto-apply); Apply-safety bij streaming versterkt dit; R7 sterk gereduceerd";"ChatToolWindowControl.xaml; ChatWindowViewModel; ChatMessageDisplay.CanApply; aanbeveling B3 uit v2 afgerond."
OWASP LLM Top 10;LLM10;Model Theft;Ja;"Model is lokaal; geen remote API; OS-ACL op ~/.ollama";"DV1 §5.3; Beheerhandleiding §5."
